epoch,step,train_loss,val_accuracy,val_loss
0,49,0.3952075242996216,,
0,99,0.301266074180603,,
0,149,0.08004742115736008,,
0,162,,0.9338461756706238,0.30951881408691406
1,199,0.40998023748397827,,
1,249,0.613953173160553,,
1,299,0.3038058578968048,,
1,325,,0.9338461756706238,0.290255069732666
2,349,0.43494778871536255,,
2,399,0.14021030068397522,,
2,449,0.384341299533844,,
2,488,,0.9338461756706238,0.27620455622673035
3,499,0.20108909904956818,,
3,549,0.24327899515628815,,
3,599,0.12527823448181152,,
3,649,0.17204205691814423,,
3,651,,0.9338461756706238,0.26695847511291504
4,699,0.19253912568092346,,
4,749,0.4021550416946411,,
4,799,0.15601451694965363,,
4,814,,0.9338461756706238,0.2621055841445923
5,815,,0.9338461756706238,0.2621055841445923
